request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_70,93360,not_affordable,not_recommended,none,,none,Requested 243900 on 2024-12-06; 90-day forecast keeps a minimum balance of 115000. Amount safe to pay today before any spending changes: 93360. No accepted payment method stays safe within the 90-day forecast.
request_71,7485050,not_affordable,not_recommended,none,,none,Requested 21451000 on 2025-05-03; 90-day forecast keeps a minimum balance of 8884800. Amount safe to pay today before any spending changes: 7485050. No accepted payment method stays safe within the 90-day forecast.
request_72,11330,affordable_now,full_payment,2026-07-05:11330,2026-07-05,none,Requested 11330 on 2026-07-05; 90-day forecast keeps a minimum balance of 12200. Amount safe to pay today before any spending changes: 11330. The full amount is safe to pay today.
request_73,71400,affordable_now,full_payment,2023-01-20:71400,2023-01-20,none,Requested 71400 on 2023-01-20; 90-day forecast keeps a minimum balance of 103200. Amount safe to pay today before any spending changes: 71400. The full amount is safe to pay today.
request_74,5010,affordable_now,full_payment,2025-08-04:5010,2025-08-04,none,Requested 5010 on 2025-08-04; 90-day forecast keeps a minimum balance of 21900. Amount safe to pay today before any spending changes: 5010. The full amount is safe to pay today.
request_75,28270,affordable_with_plan,installments,2026-04-09:9800.27|2026-05-09:9800.27|2026-06-08:9800.27,2026-04-06,none,Requested 28270 on 2026-04-06; 90-day forecast keeps a minimum balance of 39000. Amount safe to pay today before any spending changes: 28270. A supplied installment option stays within the safe balance throughout its schedule.
request_76,1538.8,not_affordable,not_recommended,none,,none,Requested 4455.6 on 2024-06-03; 90-day forecast keeps a minimum balance of 1800. Amount safe to pay today before any spending changes: 1538.8. No accepted payment method stays safe within the 90-day forecast.
request_77,60700,affordable_now,full_payment,2025-11-05:60700,2025-11-05,none,Requested 60700 on 2025-11-05; 90-day forecast keeps a minimum balance of 82200. Amount safe to pay today before any spending changes: 60700. The full amount is safe to pay today.
request_78,50200,affordable_now,full_payment,2025-10-02:50200,2025-10-02,none,Requested 50200 on 2025-10-02; 90-day forecast keeps a minimum balance of 55200. Amount safe to pay today before any spending changes: 50200. The full amount is safe to pay today.
request_79,1104.08,affordable_with_plan,partial_payment,2024-09-04:1104.08|2024-09-15:1047.52,2024-09-15,none,Requested 2151.6 on 2024-09-04; 90-day forecast keeps a minimum balance of 1000. Amount safe to pay today before any spending changes: 1104.08. Only part of the amount is safe today; the remainder is safe on 2024-09-15.
request_80,152115,not_affordable,not_recommended,none,,none,Requested 217500 on 2025-02-06; 90-day forecast keeps a minimum balance of 121300. Amount safe to pay today before any spending changes: 152115. No accepted payment method stays safe within the 90-day forecast.
request_81,2076,affordable_now,full_payment,2026-07-03:2076,2026-07-03,none,Requested 2076 on 2026-07-03; 90-day forecast keeps a minimum balance of 1600. Amount safe to pay today before any spending changes: 2076. The full amount is safe to pay today.
request_82,1011.4,not_affordable,not_recommended,none,,none,Requested 1405.2 on 2024-12-05; 90-day forecast keeps a minimum balance of 1100. Amount safe to pay today before any spending changes: 1011.4. No accepted payment method stays safe within the 90-day forecast.
request_83,28330,not_affordable,not_recommended,none,,none,Requested 156200 on 2025-05-07; 90-day forecast keeps a minimum balance of 37800. Amount safe to pay today before any spending changes: 28330. No accepted payment method stays safe within the 90-day forecast.
request_84,56565,not_affordable,not_recommended,none,,none,Requested 95400 on 2026-04-04; 90-day forecast keeps a minimum balance of 91300. Amount safe to pay today before any spending changes: 56565. No accepted payment method stays safe within the 90-day forecast.
request_85,2422120,not_affordable,not_recommended,none,,none,Requested 19304000 on 2024-03-06; 90-day forecast keeps a minimum balance of 6396300. Amount safe to pay today before any spending changes: 2422120. No accepted payment method stays safe within the 90-day forecast.
request_86,46300,affordable_now,full_payment,2025-08-03:46300,2025-08-03,none,Requested 46300 on 2025-08-03; 90-day forecast keeps a minimum balance of 84900. Amount safe to pay today before any spending changes: 46300. The full amount is safe to pay today.
request_87,92850,not_affordable,not_recommended,none,,none,Requested 487900 on 2026-01-05; 90-day forecast keeps a minimum balance of 185900. Amount safe to pay today before any spending changes: 92850. No accepted payment method stays safe within the 90-day forecast.
request_88,15557.89,not_affordable,not_recommended,none,,none,Requested 26092 on 2024-06-07; 90-day forecast keeps a minimum balance of 25800. Amount safe to pay today before any spending changes: 15557.89. No accepted payment method stays safe within the 90-day forecast.
request_89,13756000,affordable_with_plan,installments,2025-11-18:4768746.67|2025-12-16:4768746.67|2026-01-13:4768746.67,2025-11-04,none,Requested 13756000 on 2025-11-04; 90-day forecast keeps a minimum balance of 12534700. Amount safe to pay today before any spending changes: 13756000. A supplied installment option stays within the safe balance throughout its schedule.
request_90,2560,affordable_now,full_payment,2026-07-06:2560,2026-07-06,none,Requested 2560 on 2026-07-06; 90-day forecast keeps a minimum balance of 7600. Amount safe to pay today before any spending changes: 2560. The full amount is safe to pay today.
request_91,1927.2,affordable_now,full_payment,2024-09-03:1927.2,2024-09-03,none,Requested 1927.2 on 2024-09-03; 90-day forecast keeps a minimum balance of 2100. Amount safe to pay today before any spending changes: 1927.2. The full amount is safe to pay today.
request_92,34034,affordable_now,full_payment,2025-02-05:34034,2025-02-05,none,Requested 34034 on 2025-02-05; 90-day forecast keeps a minimum balance of 28100. Amount safe to pay today before any spending changes: 34034. The full amount is safe to pay today.
request_93,1729.2,affordable_now,full_payment,2026-04-07:1729.2,2026-04-07,none,Requested 1729.2 on 2026-04-07; 90-day forecast keeps a minimum balance of 1900. Amount safe to pay today before any spending changes: 1729.2. The full amount is safe to pay today.
request_94,572,affordable_now,full_payment,2024-12-04:572,2024-12-04,none,Requested 572 on 2024-12-04; 90-day forecast keeps a minimum balance of 600. Amount safe to pay today before any spending changes: 572. The full amount is safe to pay today.
request_95,137865,not_affordable,not_recommended,none,,none,Requested 553000 on 2025-05-06; 90-day forecast keeps a minimum balance of 145500. Amount safe to pay today before any spending changes: 137865. No accepted payment method stays safe within the 90-day forecast.
request_96,90200,affordable_with_plan,installments,2026-01-10:31269.33|2026-02-09:31269.33|2026-03-11:31269.33,2026-01-03,none,Requested 90200 on 2026-01-03; 90-day forecast keeps a minimum balance of 56500. Amount safe to pay today before any spending changes: 90200. A supplied installment option stays within the safe balance throughout its schedule.
request_97,8865.89,affordable_with_plan,installments,2024-03-19:8145.28|2024-04-19:8145.28|2024-05-20:8145.28,2024-03-15,none,Requested 23496 on 2024-03-05; 90-day forecast keeps a minimum balance of 29700. Amount safe to pay today before any spending changes: 8865.89. A supplied installment option stays within the safe balance throughout its schedule.
request_98,17244.7,not_affordable,not_recommended,none,,none,Requested 27148 on 2025-08-07; 90-day forecast keeps a minimum balance of 30000. Amount safe to pay today before any spending changes: 17244.7. No accepted payment method stays safe within the 90-day forecast.
request_99,18062,affordable_now,full_payment,2026-07-04:18062,2026-07-04,none,Requested 18062 on 2026-07-04; 90-day forecast keeps a minimum balance of 49100. Amount safe to pay today before any spending changes: 18062. The full amount is safe to pay today.
request_100,34836.13,affordable_with_plan,installments,2024-06-13:12866.19|2024-07-14:12866.19|2024-08-14:12866.19,2024-06-15,none,Requested 37114 on 2024-06-06; 90-day forecast keeps a minimum balance of 32500. Amount safe to pay today before any spending changes: 34836.13. A supplied installment option stays within the safe balance throughout its schedule.
request_101,143500,affordable_now,full_payment,2025-11-03:143500,2025-11-03,none,Requested 143500 on 2025-11-03; 90-day forecast keeps a minimum balance of 187400. Amount safe to pay today before any spending changes: 143500. The full amount is safe to pay today.
request_102,1716,affordable_with_plan,installments,2026-04-05:594.88|2026-05-05:594.88|2026-06-04:594.88,2026-04-05,none,Requested 1716 on 2026-04-05; 90-day forecast keeps a minimum balance of 900. Amount safe to pay today before any spending changes: 1716. A supplied installment option stays within the safe balance throughout its schedule.
request_103,35759,not_affordable,not_recommended,none,,none,Requested 368300 on 2024-09-07; 90-day forecast keeps a minimum balance of 125500. Amount safe to pay today before any spending changes: 35759. No accepted payment method stays safe within the 90-day forecast.
request_104,17204,affordable_now,full_payment,2025-02-04:17204,2025-02-04,none,Requested 17204 on 2025-02-04; 90-day forecast keeps a minimum balance of 24700. Amount safe to pay today before any spending changes: 17204. The full amount is safe to pay today.
request_105,53500,affordable_now,full_payment,2026-06-08:53500,2026-06-08,none,Requested 53500 on 2026-06-08; 90-day forecast keeps a minimum balance of 73900. Amount safe to pay today before any spending changes: 53500. The full amount is safe to pay today.
request_106,1401.7,not_affordable,not_recommended,none,,none,Requested 2207.7 on 2024-12-03; 90-day forecast keeps a minimum balance of 1200. Amount safe to pay today before any spending changes: 1401.7. No accepted payment method stays safe within the 90-day forecast.
request_107,2534.4,affordable_with_plan,installments,2025-05-08:878.59|2025-06-05:878.59|2025-07-03:878.59,2025-05-05,none,Requested 2534.4 on 2025-05-05; 90-day forecast keeps a minimum balance of 1600. Amount safe to pay today before any spending changes: 2534.4. A supplied installment option stays within the safe balance throughout its schedule.
request_108,7836.4,not_affordable,not_recommended,none,,none,Requested 55308 on 2026-07-07; 90-day forecast keeps a minimum balance of 24100. Amount safe to pay today before any spending changes: 7836.4. No accepted payment method stays safe within the 90-day forecast.
request_109,1276.46,affordable_with_plan,installments,2024-03-18:645.98|2024-04-18:645.98|2024-05-19:645.98,2024-03-15,none,Requested 1863.4 on 2024-03-04; 90-day forecast keeps a minimum balance of 1700. Amount safe to pay today before any spending changes: 1276.46. A supplied installment option stays within the safe balance throughout its schedule.
request_110,22352,affordable_with_plan,installments,2025-08-06:7748.69|2025-09-03:7748.69|2025-10-01:7748.69,2025-08-06,none,Requested 22352 on 2025-08-06; 90-day forecast keeps a minimum balance of 11200. Amount safe to pay today before any spending changes: 22352. A supplied installment option stays within the safe balance throughout its schedule.
request_111,16625000,affordable_now,full_payment,2026-04-03:16625000,2026-04-03,none,Requested 16625000 on 2026-04-03; 90-day forecast keeps a minimum balance of 23022800. Amount safe to pay today before any spending changes: 16625000. The full amount is safe to pay today.
request_112,271.7,affordable_now,full_payment,2024-06-05:271.7,2024-06-05,none,Requested 271.7 on 2024-06-05; 90-day forecast keeps a minimum balance of 500. Amount safe to pay today before any spending changes: 271.7. The full amount is safe to pay today.
request_113,36500,affordable_now,full_payment,2026-09-04:36500,2026-09-04,none,Requested 36500 on 2026-09-04; 90-day forecast keeps a minimum balance of 82300. Amount safe to pay today before any spending changes: 36500. The full amount is safe to pay today.
request_114,65300,affordable_now,full_payment,2026-01-04:65300,2026-01-04,none,Requested 65300 on 2026-01-04; 90-day forecast keeps a minimum balance of 113400. Amount safe to pay today before any spending changes: 65300. The full amount is safe to pay today.
request_115,27135,not_affordable,not_recommended,none,,none,Requested 80500 on 2024-09-06; 90-day forecast keeps a minimum balance of 38800. Amount safe to pay today before any spending changes: 27135. No accepted payment method stays safe within the 90-day forecast.
request_116,58075,not_affordable,not_recommended,none,,none,Requested 241200 on 2025-02-03; 90-day forecast keeps a minimum balance of 80300. Amount safe to pay today before any spending changes: 58075. No accepted payment method stays safe within the 90-day forecast.
request_117,880,affordable_now,full_payment,2026-07-05:880,2026-07-05,none,Requested 880 on 2026-07-05; 90-day forecast keeps a minimum balance of 1000. Amount safe to pay today before any spending changes: 880. The full amount is safe to pay today.
request_118,738.1,affordable_with_plan,installments,2024-12-07:255.87|2025-01-07:255.87|2025-02-07:255.87,2024-12-07,none,Requested 738.1 on 2024-12-07; 90-day forecast keeps a minimum balance of 600. Amount safe to pay today before any spending changes: 738.1. A supplied installment option stays within the safe balance throughout its schedule.
request_119,130901.01,not_affordable,not_recommended,none,,none,Requested 203500 on 2025-05-04; 90-day forecast keeps a minimum balance of 151200. Amount safe to pay today before any spending changes: 130901.01. No accepted payment method stays safe within the 90-day forecast.
request_120,7714000,affordable_now,full_payment,2026-04-06:7714000,2026-04-06,none,Requested 7714000 on 2026-04-06; 90-day forecast keeps a minimum balance of 20050300. Amount safe to pay today before any spending changes: 7714000. The full amount is safe to pay today.
request_121,633.6,affordable_now,full_payment,2024-03-03:633.6,2024-03-03,none,Requested 633.6 on 2024-03-03; 90-day forecast keeps a minimum balance of 800. Amount safe to pay today before any spending changes: 633.6. The full amount is safe to pay today.
request_122,20558000,affordable_with_plan,installments,2025-08-05:7126773.33|2025-09-02:7126773.33|2025-09-30:7126773.33,2025-08-05,none,Requested 20558000 on 2025-08-05; 90-day forecast keeps a minimum balance of 12588500. Amount safe to pay today before any spending changes: 20558000. A supplied installment option stays within the safe balance throughout its schedule.
request_123,4076000,affordable_now,full_payment,2026-01-07:4076000,2026-01-07,none,Requested 4076000 on 2026-01-07; 90-day forecast keeps a minimum balance of 18091200. Amount safe to pay today before any spending changes: 4076000. The full amount is safe to pay today.
request_124,2049.56,affordable_with_plan,installments,2024-06-11:1076.12|2024-07-12:1076.12|2024-08-12:1076.12,2024-06-15,none,Requested 3104.2 on 2024-06-04; 90-day forecast keeps a minimum balance of 1600. Amount safe to pay today before any spending changes: 2049.56. A supplied installment option stays within the safe balance throughout its schedule.
request_125,6468,affordable_now,full_payment,2025-11-06:6468,2025-11-06,none,Requested 6468 on 2025-11-06; 90-day forecast keeps a minimum balance of 11300. Amount safe to pay today before any spending changes: 6468. The full amount is safe to pay today.
request_126,159600,affordable_now,full_payment,2026-07-03:159600,2026-07-03,none,Requested 159600 on 2026-07-03; 90-day forecast keeps a minimum balance of 129700. Amount safe to pay today before any spending changes: 159600. The full amount is safe to pay today.
request_127,23980,affordable_now,full_payment,2024-09-05:23980,2024-09-05,none,Requested 23980 on 2024-09-05; 90-day forecast keeps a minimum balance of 41000. Amount safe to pay today before any spending changes: 23980. The full amount is safe to pay today.
request_128,25168,affordable_now,full_payment,2025-02-07:25168,2025-02-07,none,Requested 25168 on 2025-02-07; 90-day forecast keeps a minimum balance of 42600. Amount safe to pay today before any spending changes: 25168. The full amount is safe to pay today.
request_129,288,not_affordable,not_recommended,none,,none,Requested 2668.8 on 2026-04-04; 90-day forecast keeps a minimum balance of 800. Amount safe to pay today before any spending changes: 288. No accepted payment method stays safe within the 90-day forecast.
request_130,917.46,not_affordable,not_recommended,none,,none,Requested 1978.8 on 2024-12-06; 90-day forecast keeps a minimum balance of 1400. Amount safe to pay today before any spending changes: 917.46. No accepted payment method stays safe within the 90-day forecast.
request_131,1855.2,affordable_with_plan,installments,2025-05-06:643.14|2025-06-03:643.14|2025-07-01:643.14,2025-05-03,none,Requested 1855.2 on 2025-05-03; 90-day forecast keeps a minimum balance of 1100. Amount safe to pay today before any spending changes: 1855.2. A supplied installment option stays within the safe balance throughout its schedule.
request_132,379.86,affordable_now,full_payment,2026-01-05:379.86,2026-01-05,none,Requested 379.86 on 2026-01-05; 90-day forecast keeps a minimum balance of 1100. Amount safe to pay today before any spending changes: 379.86. The full amount is safe to pay today.
request_133,15770000,not_affordable,not_recommended,none,2024-03-07,none,Requested 15770000 on 2024-03-07; 90-day forecast keeps a minimum balance of 9986200. Amount safe to pay today before any spending changes: 15770000. No accepted payment method stays safe within the 90-day forecast.
request_134,12118200,affordable_later,wait,2025-08-15:21831000,2025-08-15,none,Requested 21831000 on 2025-08-04; 90-day forecast keeps a minimum balance of 15902500. Amount safe to pay today before any spending changes: 12118200. Full payment is not safe until 2025-08-15.
request_135,304.8,affordable_now,full_payment,2026-07-06:304.8,2026-07-06,none,Requested 304.8 on 2026-07-06; 90-day forecast keeps a minimum balance of 500. Amount safe to pay today before any spending changes: 304.8. The full amount is safe to pay today.
request_136,560.4,affordable_now,full_payment,2024-06-03:560.4,2024-06-03,none,Requested 560.4 on 2024-06-03; 90-day forecast keeps a minimum balance of 1100. Amount safe to pay today before any spending changes: 560.4. The full amount is safe to pay today.
request_137,67960,not_affordable,not_recommended,none,,none,Requested 80100 on 2025-11-05; 90-day forecast keeps a minimum balance of 71800. Amount safe to pay today before any spending changes: 67960. No accepted payment method stays safe within the 90-day forecast.
request_138,1209.9,not_affordable,not_recommended,none,,none,Requested 1256.94 on 2026-04-07; 90-day forecast keeps a minimum balance of 2300. Amount safe to pay today before any spending changes: 1209.90. No accepted payment method stays safe within the 90-day forecast.
request_139,2185.84,affordable_with_plan,installments,2024-09-07:802.88|2024-10-08:802.88|2024-11-08:802.88,2024-09-15,none,Requested 2316 on 2024-09-04; 90-day forecast keeps a minimum balance of 1500. Amount safe to pay today before any spending changes: 2185.84. A supplied installment option stays within the safe balance throughout its schedule.
request_140,11074.8,not_affordable,not_recommended,none,,none,Requested 62832 on 2025-02-06; 90-day forecast keeps a minimum balance of 21600. Amount safe to pay today before any spending changes: 11074.8. No accepted payment method stays safe within the 90-day forecast.
request_141,51435,not_affordable,not_recommended,none,,none,Requested 171600 on 2026-01-03; 90-day forecast keeps a minimum balance of 67300. Amount safe to pay today before any spending changes: 51435. No accepted payment method stays safe within the 90-day forecast.
request_142,1263.6,affordable_now,full_payment,2024-12-05:1263.6,2024-12-05,none,Requested 1263.6 on 2024-12-05; 90-day forecast keeps a minimum balance of 1700. Amount safe to pay today before any spending changes: 1263.6. The full amount is safe to pay today.
request_143,8384.2,not_affordable,not_recommended,none,,none,Requested 12584 on 2025-05-07; 90-day forecast keeps a minimum balance of 11300. Amount safe to pay today before any spending changes: 8384.2. No accepted payment method stays safe within the 90-day forecast.
request_144,233.34,affordable_now,full_payment,2026-07-04:233.34,2026-07-04,none,Requested 233.34 on 2026-07-04; 90-day forecast keeps a minimum balance of 600. Amount safe to pay today before any spending changes: 233.34. The full amount is safe to pay today.
request_145,105613.66,not_affordable,not_recommended,none,,none,Requested 217400 on 2024-03-06; 90-day forecast keeps a minimum balance of 155400. Amount safe to pay today before any spending changes: 105613.66. No accepted payment method stays safe within the 90-day forecast.
request_146,81465,not_affordable,not_recommended,none,,none,Requested 449400 on 2025-08-03; 90-day forecast keeps a minimum balance of 108600. Amount safe to pay today before any spending changes: 81465. No accepted payment method stays safe within the 90-day forecast.
